x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,value,Timestamp
2,1,2,3,1,2,0,2,3,3,1,2,0,2,1,0,3,0,0,1,2,3,3,1,1,2,3,0,3,3,3,0,3,0,1,3,0,1,0,2,3,3,1,3,0,1,1,3,3,3,2,3,2,2,1,0,3,2,0,2,3,3,0,0,3,2,2,3,1,3,0,3,-46.77189178370565,2302
3,0,0,1,0,3,1,0,0,1,0,1,1,0,3,2,1,2,0,1,3,1,0,1,3,1,2,3,1,2,1,0,2,1,3,0,1,2,2,0,2,1,3,1,2,0,0,1,3,1,3,0,1,2,0,1,0,0,2,1,2,2,1,2,0,3,2,3,3,2,3,2,-46.22633368643755,2354
2,2,1,0,0,0,3,2,1,0,2,3,2,1,0,1,1,1,1,0,0,1,2,0,0,0,1,3,0,1,1,0,1,2,3,1,0,3,0,0,0,1,2,2,2,3,2,1,2,2,0,3,3,3,0,3,3,1,1,3,2,2,0,0,3,2,3,2,1,2,0,2,-60.71109058613015,2405
2,0,0,2,2,0,3,1,3,0,3,0,0,3,3,1,2,2,1,3,2,0,1,2,0,3,0,3,1,3,2,2,0,1,3,0,0,2,1,2,3,2,3,0,2,1,3,2,3,1,3,3,2,3,3,1,3,0,3,1,0,1,3,0,1,2,1,0,2,2,3,3,-48.08210629299356,2457
3,1,2,3,3,2,0,3,3,0,2,2,0,1,3,2,1,0,1,3,1,1,3,1,3,1,1,0,0,2,3,0,0,3,0,1,2,1,0,2,3,0,2,0,0,2,3,3,1,1,2,3,1,3,1,3,2,1,3,1,3,2,3,3,3,0,3,2,3,1,0,3,-46.972631045145135,2507
3,2,2,0,1,3,0,3,2,2,1,2,3,3,2,2,3,3,3,0,2,2,2,3,0,2,3,0,0,3,2,1,1,1,3,3,0,1,2,2,2,2,2,3,2,3,3,0,0,2,3,1,0,1,3,3,1,2,2,3,1,0,1,0,1,1,3,3,3,1,1,1,-45.25358049644847,2557
2,2,3,3,0,3,0,2,3,0,2,2,0,0,2,2,3,3,0,2,0,1,1,0,3,0,0,2,1,3,0,0,0,0,0,3,1,0,0,3,2,3,0,2,2,1,1,2,3,2,3,3,0,3,2,0,2,3,1,0,2,0,3,3,1,3,0,0,2,0,2,0,-46.74332958177968,2607
2,3,3,3,1,1,0,2,0,2,2,0,3,1,1,0,2,2,0,0,1,3,1,3,1,0,3,1,2,1,2,1,0,3,2,2,0,1,3,3,2,2,1,3,2,1,0,1,2,2,3,1,3,0,2,2,1,1,2,3,1,1,2,3,1,0,1,1,0,3,0,2,-46.712424322243784,2730
0,1,1,0,3,2,2,3,1,0,1,1,2,0,2,3,0,2,0,0,2,3,0,0,1,1,3,2,3,3,3,1,1,1,3,2,2,0,2,2,1,3,3,3,2,3,0,3,2,3,0,3,2,3,1,0,2,3,2,0,2,2,0,1,1,3,3,2,2,3,3,0,-46.94272971182824,2781
3,0,0,2,0,2,3,3,0,2,0,3,0,1,3,3,2,1,3,0,2,2,1,1,3,2,3,1,0,1,3,0,1,3,3,1,3,2,3,1,3,0,0,1,2,1,0,1,1,2,3,0,2,3,2,2,1,1,1,1,1,0,3,3,3,2,1,3,1,3,0,0,-46.227811900376594,2831
1,2,3,0,2,3,2,1,2,0,3,2,0,0,3,1,0,0,3,1,1,0,3,0,1,2,0,2,1,3,0,1,2,0,0,3,3,3,0,1,2,3,3,2,3,2,2,2,0,3,1,2,1,2,3,3,3,3,3,2,1,2,2,1,2,1,3,2,3,3,0,2,-48.25175992655768,2881
0,3,3,1,1,0,1,2,0,3,0,1,3,3,3,1,2,3,0,2,2,1,0,2,0,3,0,3,1,3,3,3,0,1,3,3,2,2,3,3,2,2,2,0,3,2,1,2,0,1,0,2,1,1,1,3,2,0,2,1,1,1,0,1,1,3,1,0,1,1,3,2,-59.11286740860786,2930
0,2,1,1,3,3,1,3,0,2,1,0,0,3,2,1,2,1,0,0,3,1,3,3,0,0,3,3,3,1,3,0,0,0,0,0,0,0,0,0,1,3,3,0,2,2,1,2,1,2,3,3,3,0,3,2,0,2,3,3,0,2,2,2,0,3,3,0,0,3,2,1,-49.99778597658746,2981
0,2,3,3,1,2,0,0,3,2,3,1,0,0,3,0,3,2,0,0,2,2,0,0,1,0,0,3,3,2,3,0,0,2,2,0,3,0,3,1,0,1,2,2,1,2,1,2,0,0,0,2,2,3,0,0,0,1,0,1,0,2,2,0,3,1,1,1,3,2,1,1,-47.846420216435575,3029
1,1,0,3,2,3,1,3,2,2,0,0,2,0,0,2,3,3,3,2,0,1,3,0,2,2,1,3,1,2,0,0,0,3,3,0,3,2,2,0,1,0,0,2,0,1,1,3,3,2,3,0,3,3,3,0,3,2,2,0,1,3,0,2,0,2,0,1,3,2,3,2,-46.73118370048083,3078
1,3,3,0,2,3,0,2,3,0,1,1,0,1,3,2,0,2,3,2,3,0,1,0,2,2,2,1,1,1,1,2,3,1,2,1,3,3,0,2,3,2,3,1,3,3,1,2,3,2,1,1,3,2,1,2,0,0,1,0,0,0,0,0,3,3,1,2,3,2,0,3,-46.729752462524374,3131
1,0,3,0,3,3,0,1,0,1,1,0,1,1,1,0,3,3,3,0,2,0,0,2,2,1,3,0,0,0,0,3,3,2,1,0,3,3,2,0,1,0,1,1,2,2,0,2,2,0,2,1,0,1,0,0,0,2,2,3,2,0,2,2,0,3,0,0,2,2,2,1,-47.932955921386124,3252
0,3,3,3,1,0,2,0,0,2,0,3,1,2,3,3,1,1,2,3,0,0,1,3,0,0,2,3,2,0,2,0,1,0,2,0,3,3,1,3,3,3,1,1,2,2,3,0,0,3,1,3,3,2,3,3,2,0,3,2,0,3,3,3,3,3,1,0,1,0,0,1,-59.37530137696693,3304
1,0,0,1,3,1,3,1,2,2,3,2,3,1,0,2,0,0,3,3,2,3,1,3,0,0,3,0,1,1,0,3,0,0,2,3,2,1,0,1,1,1,2,0,0,0,2,0,0,0,3,3,1,3,0,2,0,0,1,2,2,3,2,3,2,1,3,0,2,0,0,1,-48.57860794656217,3353
