x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,value,Timestamp
3,0,0,0,3,2,0,0,1,0,1,3,0,0,0,2,0,3,1,3,1,0,1,3,-0.22818195356615278,2669
2,2,3,1,0,0,1,3,3,3,1,0,0,0,0,3,1,0,0,3,1,2,0,2,-0.1904424603038143,2685
2,2,3,1,3,1,3,0,0,1,3,3,1,3,2,1,0,3,2,3,0,2,3,0,-0.1904424603038143,2702
1,2,2,2,0,3,1,3,3,1,0,3,1,0,1,3,1,2,3,1,3,0,2,0,-0.19724526910371842,2718
2,3,1,0,0,3,2,2,0,2,1,0,2,1,0,3,0,2,1,1,2,1,3,0,-0.1904424603038143,2733
1,1,1,3,0,2,0,1,0,3,2,0,3,0,0,2,3,1,0,3,3,0,2,2,-0.3276081896748093,2748
1,3,3,3,1,1,0,3,0,2,0,1,2,0,3,3,1,1,3,1,3,3,0,2,-0.19724526910371842,2765
1,0,0,3,0,1,1,2,2,1,3,1,0,3,3,2,2,0,2,2,2,0,3,3,-0.3276081896748093,2781
3,0,2,1,1,3,0,1,0,3,1,0,0,2,3,3,3,1,2,1,3,3,1,1,-0.040644644221338955,2796
1,0,3,0,0,1,2,2,0,1,1,1,0,3,0,1,1,1,1,0,3,1,2,1,-0.19724526910371842,2811
1,3,3,3,3,0,2,1,0,2,1,2,2,0,1,2,0,3,3,0,1,2,1,0,-0.3276081896748093,2829
1,3,3,1,1,3,0,3,0,0,1,0,2,1,0,1,1,0,0,0,2,2,2,3,-0.1904424603038143,2844
1,1,0,0,0,0,2,1,3,0,3,1,2,1,3,1,2,0,0,3,0,3,0,3,-0.4338372345833701,2860
0,2,0,2,3,0,1,3,3,3,0,3,3,0,3,3,0,1,1,1,0,3,0,1,-0.4338372345833701,2876
1,3,1,1,2,0,0,3,1,1,2,3,1,0,0,3,0,1,1,2,3,0,1,1,-0.3276081896748093,2892
0,3,3,2,1,1,2,2,1,1,1,1,0,3,2,1,0,0,3,3,1,2,3,2,-0.3276081896748093,2908
0,0,1,1,3,1,2,0,3,2,1,3,3,1,0,3,0,2,3,3,1,1,1,3,-0.43383723458337003,2925
1,1,1,1,0,2,3,3,1,0,1,1,3,1,3,1,1,0,2,2,3,1,0,1,-0.4338372345833701,2941
2,0,0,3,1,1,0,3,3,3,3,3,2,2,2,3,2,3,1,3,2,1,2,3,-0.6772392516528154,2958
3,0,2,0,0,3,2,0,1,3,2,0,3,3,3,3,3,1,3,3,2,3,3,2,-0.43501116868582124,2974
0,2,1,0,2,2,1,1,2,1,0,0,0,0,1,0,0,2,2,0,3,1,0,2,-0.21550623051265172,2988
3,1,0,1,1,0,0,0,0,0,2,3,1,3,1,3,3,2,1,2,2,2,3,3,-0.1643405029391659,3004
3,2,3,3,3,3,0,2,1,3,2,0,3,3,3,1,2,1,0,1,3,3,0,3,-0.3276081896748093,3021
1,0,3,2,0,1,2,3,3,3,1,2,3,2,2,0,2,3,0,0,2,0,0,2,-0.3276081896748093,3037
0,1,0,0,2,3,1,2,1,1,2,2,0,1,0,1,0,1,0,1,1,1,0,0,-0.1643405029391659,3052
2,3,0,1,3,2,3,1,0,3,3,1,3,0,3,1,2,2,3,3,2,1,1,2,-0.7505635303968236,3071
2,3,3,3,1,1,3,0,2,0,1,0,2,1,1,0,0,1,1,3,1,0,2,3,-0.17898430769478513,3088
0,0,0,3,1,0,1,1,0,2,3,3,0,3,1,2,0,0,0,3,1,0,0,0,-0.22818195356615273,3105
2,2,1,3,3,2,3,2,1,1,1,2,1,0,1,1,3,1,1,1,3,0,3,3,-0.5400735222818202,3123
0,0,0,3,3,3,2,1,2,2,3,2,0,3,3,0,3,2,3,2,1,1,3,3,-0.3034743140122791,3138
0,3,1,2,3,1,0,2,3,3,0,0,1,3,0,0,3,1,0,1,3,1,1,3,-0.1643405029391659,3154
2,0,3,3,2,0,1,2,1,1,3,1,0,2,0,2,1,2,0,1,1,2,1,0,-0.37680583554617686,3171
0,1,3,0,1,1,0,3,3,2,3,1,3,0,3,3,3,1,2,1,3,2,3,3,-0.3276081896748093,3188
3,2,0,2,0,1,1,2,1,3,1,0,1,0,2,2,2,1,1,2,3,3,0,1,-0.37680583554617686,3205
1,1,0,0,0,3,1,2,2,0,1,2,2,2,0,0,1,3,2,1,1,2,0,2,-0.3276081896748093,3220
2,0,3,2,2,3,3,1,0,0,1,1,3,1,0,2,2,2,1,2,1,3,0,3,-0.053320367274840075,3236
2,0,2,1,3,0,3,2,0,2,2,3,1,2,3,2,2,2,3,3,0,3,0,1,-0.701365884525456,3253
0,0,3,1,1,3,3,3,0,2,0,3,0,3,2,0,0,0,2,3,0,0,2,0,-0.22818195356615273,3268
3,1,3,1,3,2,3,1,1,1,1,1,1,3,1,3,3,3,1,0,2,0,0,3,-0.27841054380344177,3285
1,2,3,0,2,0,3,2,0,1,1,1,3,1,3,0,1,3,2,1,2,0,0,3,-0.3276081896748093,3301
3,0,2,2,1,0,2,3,2,2,0,3,1,0,0,3,2,3,0,2,0,1,3,3,-0.5334064604285563,3317
2,3,2,1,2,2,3,0,1,0,0,1,3,3,0,3,3,1,0,1,0,1,2,3,-0.19044246030381418,3333
2,1,1,3,1,3,3,1,2,3,3,3,1,0,2,2,1,2,1,1,0,1,0,2,-0.37680583554617686,3349
3,3,1,0,2,1,2,0,2,0,0,1,3,1,0,2,1,3,2,3,0,0,0,3,-0.172181498894881,3364
3,1,2,2,2,2,3,0,3,3,3,2,0,1,3,1,2,1,1,1,3,0,2,2,-0.3276081896748093,3382
1,1,1,3,0,1,3,3,2,2,0,2,0,0,0,1,3,0,3,0,0,0,0,3,-0.4842088145571889,3398
0,1,3,3,0,0,3,3,2,2,0,1,0,1,1,3,0,2,0,1,1,3,3,2,-0.29667150521237495,3414
0,2,1,3,0,1,3,3,3,0,2,3,1,2,3,3,3,2,0,3,1,2,3,3,-0.22137914476624854,3430
